appointment_id,location_id,employee_id,client_id,child_id,notes,has_specific_employee,start_time,end_time
964,3,31,1727,1727,I'm going to make him an offer he can't refuse.,false,2020-07-06 20:32:02 UTC,
175,1,12,527,527,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-06-27 18:46:58 UTC,
2814,2,20,1740,1740,What we've got here is failure to communicate.,true,2020-07-03 19:21:09 UTC,
1203,3,36,768,768,I'm going to make him an offer he can't refuse.,true,2020-07-21 21:40:02 UTC,
2571,1,18,914,914,I'm going to make him an offer he can't refuse.,true,2020-07-14 17:28:18 UTC,
1087,2,28,1607,1607,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-06-28 18:56:06 UTC,
530,3,38,1977,1977,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-19 20:41:20 UTC,
2356,1,10,1920,1920,May the Force be with you.,false,2020-07-21 20:49:43 UTC,
590,2,25,1249,1249,You talking to me?,true,2020-07-06 21:38:31 UTC,
3129,3,38,1923,1923,You talking to me?,false,2020-07-11 20:17:50 UTC,
2828,1,14,1839,1839,May the Force be with you.,false,2020-07-20 20:03:14 UTC,
357,2,24,962,962,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-22 22:48:31 UTC,
1978,3,34,1518,1518,I'm going to make him an offer he can't refuse.,false,2020-07-09 17:17:05 UTC,
1862,1,14,562,562,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-07-13 20:09:53 UTC,
329,2,27,199,199,"Frankly, my dear, I don’t give a damn.",false,2020-07-14 22:10:06 UTC,
3117,3,31,335,335,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-13 22:26:02 UTC,
739,1,17,155,155,You talking to me?,false,2020-07-09 18:08:03 UTC,
2990,2,27,1699,1699,"Here's looking at you, kid.",true,2020-07-22 18:18:38 UTC,
893,3,33,254,254,"Here's looking at you, kid.",false,2020-07-02 21:57:09 UTC,
2888,1,11,1880,1880,I love the smell of napalm in the morning.,true,2020-07-15 17:06:06 UTC,
4877,2,29,1689,1689,I love the smell of napalm in the morning.,false,2020-07-03 20:31:09 UTC,
2810,3,34,344,344,What we've got here is failure to communicate.,true,2020-07-20 17:05:19 UTC,
2238,1,17,1818,1818,"Frankly, my dear, I don’t give a damn.",false,2020-07-02 22:09:07 UTC,
558,2,21,414,414,You talking to me?,false,2020-07-01 22:45:31 UTC,
9,3,38,124,124,What we've got here is failure to communicate.,true,2020-06-23 21:29:32 UTC,
3715,1,14,1014,1014,I'm going to make him an offer he can't refuse.,false,2020-07-08 20:31:07 UTC,
4591,2,27,1505,1505,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-01 20:09:43 UTC,
3875,3,33,385,385,You talking to me?,true,2020-07-16 19:34:03 UTC,
4609,1,17,1613,1613,I love the smell of napalm in the morning.,false,2020-07-19 21:56:22 UTC,
628,2,27,1293,1293,"Go ahead, make my day.",false,2020-07-03 18:42:05 UTC,
4264,3,33,208,208,What we've got here is failure to communicate.,false,2020-07-01 19:44:44 UTC,
2223,1,10,1242,1242,What we've got here is failure to communicate.,false,2020-07-08 20:16:24 UTC,
406,2,21,1423,1423,You talking to me?,false,2020-06-25 17:30:51 UTC,
1134,3,30,194,194,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-06-30 18:53:33 UTC,
2016,1,19,1762,1762,You talking to me?,true,2020-07-17 18:10:55 UTC,
123,2,20,995,995,I'm going to make him an offer he can't refuse.,false,2020-07-03 18:57:01 UTC,
1197,3,36,299,299,I love the smell of napalm in the morning.,true,2020-07-14 20:11:02 UTC,
1193,1,17,1067,1067,You talking to me?,false,2020-06-29 20:11:15 UTC,
4832,2,20,520,520,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-02 21:59:54 UTC,
3352,3,36,1723,1723,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-10 22:58:18 UTC,
593,1,12,1550,1550,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-06-28 19:01:43 UTC,
779,2,26,41,41,I love the smell of napalm in the morning.,false,2020-06-30 21:39:57 UTC,
453,3,30,675,675,May the Force be with you.,false,2020-06-26 21:49:12 UTC,
3491,1,14,499,499,I love the smell of napalm in the morning.,true,2020-07-08 20:33:49 UTC,
2191,2,22,993,993,I'm going to make him an offer he can't refuse.,false,2020-06-23 19:44:01 UTC,
4991,3,30,1343,1343,I'm going to make him an offer he can't refuse.,false,2020-06-30 21:21:34 UTC,
302,1,19,720,720,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-11 20:06:35 UTC,
1793,2,22,204,204,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-03 22:27:17 UTC,
4560,3,33,1419,1419,"Go ahead, make my day.",false,2020-07-19 19:01:02 UTC,
334,1,14,468,468,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-15 17:08:13 UTC,
29,2,27,1857,1857,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-18 20:46:10 UTC,
4479,3,39,1711,1711,I'm going to make him an offer he can't refuse.,false,2020-07-16 17:16:06 UTC,
2024,1,13,348,348,I love the smell of napalm in the morning.,true,2020-07-02 18:11:39 UTC,
3750,2,27,1853,1853,What we've got here is failure to communicate.,true,2020-06-27 21:17:29 UTC,
3722,3,34,1218,1218,"Here's looking at you, kid.",true,2020-07-14 20:44:29 UTC,
4382,1,18,517,517,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-07-09 22:16:00 UTC,
4808,2,22,1263,1263,I love the smell of napalm in the morning.,true,2020-07-19 17:39:25 UTC,
2636,3,33,1605,1605,"Frankly, my dear, I don’t give a damn.",true,2020-07-13 21:20:06 UTC,
4261,1,12,1751,1751,I love the smell of napalm in the morning.,false,2020-07-09 18:58:49 UTC,
1561,2,23,1682,1682,I love the smell of napalm in the morning.,false,2020-07-11 22:34:45 UTC,
1812,3,33,471,471,"Frankly, my dear, I don’t give a damn.",true,2020-07-21 22:23:45 UTC,
1734,1,17,213,213,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-06-28 18:50:41 UTC,
4856,2,21,598,598,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-20 19:30:14 UTC,
1041,3,32,1418,1418,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-07-06 17:55:09 UTC,
99,1,19,1247,1247,"Frankly, my dear, I don’t give a damn.",false,2020-07-06 21:15:14 UTC,
4037,2,20,1319,1319,"Frankly, my dear, I don’t give a damn.",true,2020-07-06 19:20:44 UTC,
3378,3,39,1188,1188,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-10 20:10:15 UTC,
1149,1,19,144,144,What we've got here is failure to communicate.,true,2020-07-01 22:05:12 UTC,
4307,2,23,61,61,What we've got here is failure to communicate.,false,2020-07-06 21:54:57 UTC,
677,3,36,142,142,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-20 19:53:33 UTC,
3315,1,11,1983,1983,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-06-29 17:07:03 UTC,
257,2,24,430,430,I love the smell of napalm in the morning.,false,2020-07-06 18:52:18 UTC,
3542,3,37,1462,1462,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-06-25 19:07:32 UTC,
4675,1,11,765,765,I'm going to make him an offer he can't refuse.,true,2020-07-03 20:52:16 UTC,
3524,2,25,349,349,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-14 17:42:18 UTC,
1917,3,39,1859,1859,What we've got here is failure to communicate.,false,2020-07-22 22:23:20 UTC,
359,1,16,1363,1363,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-07-08 18:14:56 UTC,
4056,2,28,712,712,I love the smell of napalm in the morning.,false,2020-07-15 21:33:37 UTC,
169,3,37,972,972,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-11 17:05:43 UTC,
2145,1,14,1606,1606,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-06-27 21:38:43 UTC,
1097,2,28,1360,1360,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-20 20:39:38 UTC,
2729,3,33,834,834,I love the smell of napalm in the morning.,true,2020-07-04 20:53:54 UTC,
321,1,11,1801,1801,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-10 17:40:08 UTC,
4746,2,22,1415,1415,"Go ahead, make my day.",false,2020-06-24 20:27:04 UTC,
953,3,34,394,394,"Here's looking at you, kid.",true,2020-07-02 22:18:22 UTC,
4393,1,12,122,122,"Go ahead, make my day.",true,2020-06-29 22:00:03 UTC,
1795,2,28,228,228,"Frankly, my dear, I don’t give a damn.",false,2020-07-12 22:00:02 UTC,
2555,3,35,826,826,I'm going to make him an offer he can't refuse.,true,2020-07-15 17:59:53 UTC,
623,1,16,718,718,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-13 19:05:15 UTC,
1644,2,23,1199,1199,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-07-18 19:49:50 UTC,
3513,3,33,322,322,"Here's looking at you, kid.",true,2020-06-23 22:24:09 UTC,
4350,1,16,1412,1412,I'm going to make him an offer he can't refuse.,true,2020-07-02 20:22:49 UTC,
2556,2,28,906,906,"Here's looking at you, kid.",false,2020-06-27 17:07:33 UTC,
3717,3,30,317,317,"Go ahead, make my day.",true,2020-06-26 19:12:03 UTC,
1194,1,10,544,544,What we've got here is failure to communicate.,false,2020-07-19 21:20:21 UTC,
4023,2,26,846,846,May the Force be with you.,true,2020-07-12 22:01:36 UTC,
1064,3,38,198,198,What we've got here is failure to communicate.,false,2020-07-04 17:29:25 UTC,
1213,1,14,1300,1300,"Frankly, my dear, I don’t give a damn.",false,2020-07-15 20:42:10 UTC,
2791,2,29,1194,1194,I love the smell of napalm in the morning.,false,2020-07-10 21:09:53 UTC,
2520,3,34,1062,1062,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-07-19 20:44:53 UTC,
1130,1,10,603,603,"Go ahead, make my day.",false,2020-07-11 19:42:10 UTC,
2792,2,22,342,342,"Frankly, my dear, I don’t give a damn.",true,2020-07-01 20:34:57 UTC,
1217,3,39,929,929,"Here's looking at you, kid.",false,2020-07-15 21:51:49 UTC,
4709,1,15,163,163,"Here's looking at you, kid.",true,2020-07-09 18:32:39 UTC,
4807,2,22,726,726,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-06-29 22:46:24 UTC,
4825,3,31,732,732,"Here's looking at you, kid.",true,2020-07-11 22:55:29 UTC,
1988,1,11,670,670,"Here's looking at you, kid.",false,2020-07-12 21:01:48 UTC,
4661,2,20,1390,1390,"Frankly, my dear, I don’t give a damn.",true,2020-06-23 20:55:06 UTC,
3682,3,34,288,288,I'm going to make him an offer he can't refuse.,false,2020-07-02 22:35:13 UTC,
1929,1,14,113,113,"Go ahead, make my day.",false,2020-06-23 17:15:55 UTC,
4728,2,24,1211,1211,You talking to me?,false,2020-06-24 21:15:25 UTC,
3311,3,32,475,475,"Here's looking at you, kid.",false,2020-06-30 19:41:30 UTC,
1829,1,18,178,178,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-03 17:04:01 UTC,
2773,2,29,313,313,"Go ahead, make my day.",false,2020-07-17 21:04:50 UTC,
641,3,33,1189,1189,I love the smell of napalm in the morning.,true,2020-06-29 19:11:57 UTC,
3733,1,19,1996,1996,May the Force be with you.,true,2020-07-22 21:54:11 UTC,
2948,2,28,1989,1989,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-12 17:44:19 UTC,
3198,3,34,179,179,"Go ahead, make my day.",false,2020-07-09 19:11:03 UTC,
2388,1,18,1685,1685,"Frankly, my dear, I don’t give a damn.",true,2020-06-24 20:26:51 UTC,
1640,2,20,716,716,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-06-29 21:07:50 UTC,
2950,3,31,1744,1744,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-01 17:10:52 UTC,
4069,1,14,351,351,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-15 18:40:06 UTC,
1514,2,25,1746,1746,"Frankly, my dear, I don’t give a damn.",false,2020-07-05 18:17:01 UTC,
1156,3,38,657,657,I'm going to make him an offer he can't refuse.,false,2020-07-01 19:56:32 UTC,
3525,1,11,1532,1532,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-13 17:14:51 UTC,
745,2,21,1739,1739,"Frankly, my dear, I don’t give a damn.",true,2020-07-01 17:51:03 UTC,
2517,3,32,898,898,May the Force be with you.,true,2020-07-16 17:31:41 UTC,
2606,1,15,342,342,You talking to me?,false,2020-06-26 17:31:50 UTC,
430,2,22,1330,1330,I love the smell of napalm in the morning.,false,2020-07-05 17:55:09 UTC,
3945,3,36,1715,1715,"Frankly, my dear, I don’t give a damn.",false,2020-07-01 20:17:43 UTC,
1879,1,13,85,85,What we've got here is failure to communicate.,false,2020-07-02 18:58:20 UTC,
4343,2,29,45,45,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-06-24 19:17:15 UTC,
1244,3,38,1043,1043,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-06-24 20:06:57 UTC,
4139,1,17,334,334,"Go ahead, make my day.",true,2020-07-10 17:01:10 UTC,
3820,2,28,76,76,"Frankly, my dear, I don’t give a damn.",false,2020-07-04 17:24:55 UTC,
3732,3,32,540,540,You talking to me?,true,2020-07-13 21:19:00 UTC,
2542,1,12,1667,1667,I'm going to make him an offer he can't refuse.,false,2020-06-29 22:30:36 UTC,
747,2,22,276,276,"Frankly, my dear, I don’t give a damn.",true,2020-07-21 21:44:35 UTC,
330,3,36,1792,1792,I'm going to make him an offer he can't refuse.,true,2020-07-14 21:48:08 UTC,
3020,1,16,1205,1205,I'm going to make him an offer he can't refuse.,false,2020-07-01 20:57:49 UTC,
505,2,20,1338,1338,"Frankly, my dear, I don’t give a damn.",true,2020-06-27 18:09:20 UTC,
4016,3,34,1501,1501,You talking to me?,true,2020-06-25 21:41:50 UTC,
404,1,16,472,472,You talking to me?,true,2020-07-09 18:39:07 UTC,
4394,2,29,652,652,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-05 20:13:44 UTC,
3262,3,39,561,561,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-22 21:46:44 UTC,
3364,1,14,697,697,You talking to me?,false,2020-07-09 20:15:04 UTC,
3989,2,28,150,150,May the Force be with you.,false,2020-07-07 17:08:36 UTC,
3469,3,35,530,530,I'm going to make him an offer he can't refuse.,true,2020-06-23 21:04:50 UTC,
4686,1,12,681,681,"Here's looking at you, kid.",false,2020-07-13 22:46:39 UTC,
2210,2,29,1074,1074,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-18 18:31:23 UTC,
1737,3,30,1080,1080,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-02 21:46:12 UTC,
663,1,18,660,660,I'm going to make him an offer he can't refuse.,true,2020-07-16 17:18:49 UTC,
1882,2,26,1330,1330,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-16 20:48:53 UTC,
2902,3,35,250,250,I love the smell of napalm in the morning.,false,2020-06-25 19:02:23 UTC,
3665,1,10,1805,1805,What we've got here is failure to communicate.,true,2020-07-06 22:59:15 UTC,
3196,2,26,547,547,"Go ahead, make my day.",false,2020-07-01 22:42:56 UTC,
2591,3,32,327,327,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-04 19:45:37 UTC,
4110,1,11,1371,1371,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-02 17:18:09 UTC,
2693,2,23,1113,1113,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-15 21:02:34 UTC,
2813,3,30,458,458,"Frankly, my dear, I don’t give a damn.",false,2020-07-21 20:59:08 UTC,
1070,1,18,390,390,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-10 22:25:19 UTC,
1326,2,24,22,22,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-08 20:44:56 UTC,
2393,3,34,1887,1887,What we've got here is failure to communicate.,false,2020-06-23 22:55:09 UTC,
3446,1,14,358,358,"Frankly, my dear, I don’t give a damn.",true,2020-07-17 17:15:24 UTC,
1151,2,20,629,629,What we've got here is failure to communicate.,true,2020-06-29 21:39:45 UTC,
581,3,31,356,356,May the Force be with you.,false,2020-06-27 17:51:50 UTC,
4821,1,10,1067,1067,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-06-25 18:36:12 UTC,
3392,2,24,40,40,You talking to me?,true,2020-07-19 19:32:01 UTC,
2222,3,39,1713,1713,What we've got here is failure to communicate.,false,2020-07-20 18:21:18 UTC,
1483,1,17,294,294,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-07 21:00:31 UTC,
2573,2,27,2002,2002,"Go ahead, make my day.",true,2020-07-06 20:52:39 UTC,
2331,3,37,838,838,"Here's looking at you, kid.",true,2020-07-10 17:45:33 UTC,
1744,1,14,1042,1042,"Frankly, my dear, I don’t give a damn.",true,2020-07-01 19:22:43 UTC,
116,2,29,1747,1747,"Frankly, my dear, I don’t give a damn.",false,2020-06-27 21:14:25 UTC,
62,3,38,1913,1913,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-06-28 20:27:59 UTC,
3540,1,13,446,446,"Here's looking at you, kid.",true,2020-07-18 18:35:25 UTC,
4693,2,23,380,380,I love the smell of napalm in the morning.,false,2020-06-30 19:52:44 UTC,
4370,3,32,459,459,I'm going to make him an offer he can't refuse.,false,2020-06-27 20:16:46 UTC,
799,1,16,1970,1970,"Go ahead, make my day.",true,2020-06-30 19:06:39 UTC,
324,2,22,155,155,"Here's looking at you, kid.",true,2020-06-26 17:45:20 UTC,
514,3,35,1376,1376,May the Force be with you.,false,2020-06-29 18:11:55 UTC,
4721,1,18,1657,1657,You talking to me?,false,2020-07-20 19:14:18 UTC,
4487,2,28,975,975,"Go ahead, make my day.",false,2020-07-05 18:45:29 UTC,
3661,3,38,1012,1012,"Go ahead, make my day.",false,2020-06-30 19:04:39 UTC,
96,1,10,909,909,I love the smell of napalm in the morning.,false,2020-07-02 18:43:04 UTC,
1693,2,28,358,358,What we've got here is failure to communicate.,false,2020-07-03 17:51:41 UTC,
1668,3,33,877,877,I love the smell of napalm in the morning.,true,2020-07-08 20:24:14 UTC,
1916,1,16,1933,1933,May the Force be with you.,false,2020-07-08 19:17:19 UTC,
4657,2,22,1924,1924,"Here's looking at you, kid.",true,2020-07-01 21:58:57 UTC,
4655,3,30,1007,1007,What we've got here is failure to communicate.,true,2020-07-13 19:23:06 UTC,
4506,1,13,1982,1982,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-13 22:16:29 UTC,
4624,2,20,1443,1443,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-06 21:21:35 UTC,
1878,3,39,1004,1004,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-17 22:59:27 UTC,
3755,1,18,1617,1617,"Here's looking at you, kid.",true,2020-07-13 21:01:56 UTC,
442,2,25,1275,1275,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-11 22:14:04 UTC,
881,3,37,511,511,I love the smell of napalm in the morning.,false,2020-07-02 19:49:21 UTC,
232,1,18,1956,1956,I'm going to make him an offer he can't refuse.,false,2020-07-07 22:04:26 UTC,
2617,2,29,1200,1200,I'm going to make him an offer he can't refuse.,false,2020-07-17 20:41:06 UTC,
4280,3,36,1456,1456,"Frankly, my dear, I don’t give a damn.",true,2020-06-27 17:25:38 UTC,
2171,1,16,887,887,What we've got here is failure to communicate.,true,2020-07-17 17:07:24 UTC,
290,2,20,1680,1680,"Here's looking at you, kid.",false,2020-06-24 18:50:05 UTC,
4713,3,35,1992,1992,"Here's looking at you, kid.",false,2020-07-19 18:30:09 UTC,
2946,1,13,143,143,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-01 20:24:50 UTC,
1717,2,24,1464,1464,I love the smell of napalm in the morning.,false,2020-06-29 17:53:50 UTC,
1258,3,35,2001,2001,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-06-29 19:24:29 UTC,
1901,1,18,802,802,May the Force be with you.,false,2020-07-12 19:37:42 UTC,
1776,2,25,1443,1443,What we've got here is failure to communicate.,true,2020-07-17 17:28:41 UTC,
926,3,37,988,988,I'm going to make him an offer he can't refuse.,true,2020-06-23 21:39:20 UTC,
2375,1,19,577,577,You talking to me?,false,2020-07-22 21:19:29 UTC,
531,2,27,910,910,I love the smell of napalm in the morning.,true,2020-07-07 17:11:21 UTC,
548,3,34,969,969,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-20 22:54:28 UTC,
1099,1,15,683,683,What we've got here is failure to communicate.,false,2020-07-22 22:57:19 UTC,
4029,2,25,76,76,You talking to me?,true,2020-07-14 22:22:17 UTC,
4323,3,33,317,317,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-11 22:41:00 UTC,
2411,1,12,482,482,"Frankly, my dear, I don’t give a damn.",false,2020-07-21 22:14:35 UTC,
2805,2,25,1908,1908,May the Force be with you.,true,2020-07-17 22:53:27 UTC,
775,3,36,1019,1019,"Go ahead, make my day.",false,2020-07-02 19:12:49 UTC,
2085,1,18,593,593,You talking to me?,true,2020-06-25 17:40:22 UTC,
1985,2,20,1727,1727,May the Force be with you.,true,2020-07-18 18:20:59 UTC,
4724,3,37,1977,1977,I love the smell of napalm in the morning.,true,2020-07-18 20:22:59 UTC,
4797,1,18,142,142,"Frankly, my dear, I don’t give a damn.",true,2020-07-04 18:56:55 UTC,
2816,2,29,980,980,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-07-03 18:26:30 UTC,
3374,3,32,1173,1173,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-06-24 20:06:00 UTC,
3811,1,14,847,847,"Frankly, my dear, I don’t give a damn.",true,2020-07-14 22:54:40 UTC,
2678,2,28,1241,1241,"Here's looking at you, kid.",true,2020-06-30 20:55:48 UTC,
1468,3,35,1176,1176,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-05 19:42:05 UTC,
4558,1,11,1167,1167,I'm going to make him an offer he can't refuse.,true,2020-06-23 17:07:37 UTC,
1628,2,24,1373,1373,"Frankly, my dear, I don’t give a damn.",true,2020-07-21 20:15:25 UTC,
1659,3,38,204,204,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-02 18:51:26 UTC,
2679,1,12,680,680,I love the smell of napalm in the morning.,false,2020-06-27 21:01:40 UTC,
1186,2,26,558,558,"Go ahead, make my day.",true,2020-07-22 20:10:15 UTC,
3926,3,39,1095,1095,"Frankly, my dear, I don’t give a damn.",false,2020-06-23 20:15:21 UTC,
4294,1,17,515,515,"Here's looking at you, kid.",true,2020-06-26 17:29:54 UTC,
1052,2,20,1810,1810,I'm going to make him an offer he can't refuse.,false,2020-06-28 19:34:07 UTC,
3,3,33,1593,1593,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-06-29 17:59:03 UTC,
4096,1,18,879,879,I'm going to make him an offer he can't refuse.,false,2020-07-02 20:38:01 UTC,
1081,2,20,45,45,"Go ahead, make my day.",false,2020-06-29 17:33:01 UTC,
4351,3,30,1676,1676,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-13 20:21:25 UTC,
2076,1,14,947,947,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-07-19 18:27:08 UTC,
529,2,29,1189,1189,"Go ahead, make my day.",false,2020-06-28 22:52:24 UTC,
2675,3,35,528,528,May the Force be with you.,true,2020-06-24 20:37:03 UTC,
2744,1,19,254,254,What we've got here is failure to communicate.,true,2020-07-14 22:37:18 UTC,
3189,2,26,1284,1284,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-19 17:11:32 UTC,
4474,3,32,1031,1031,What we've got here is failure to communicate.,true,2020-07-01 21:39:42 UTC,
2749,1,14,814,814,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-06-28 20:19:46 UTC,
2296,2,22,1142,1142,You talking to me?,false,2020-07-13 21:24:22 UTC,
1663,3,35,584,584,May the Force be with you.,false,2020-07-13 17:02:27 UTC,
3183,1,10,906,906,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-06-28 19:46:46 UTC,
1757,2,22,327,327,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-06-25 19:07:16 UTC,
4700,3,30,1259,1259,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-14 20:05:36 UTC,
3113,1,16,22,22,I'm going to make him an offer he can't refuse.,true,2020-07-02 20:46:42 UTC,
2868,2,25,991,991,"Go ahead, make my day.",true,2020-07-16 22:02:15 UTC,
459,3,31,1266,1266,"Here's looking at you, kid.",false,2020-06-24 17:51:01 UTC,
2839,1,11,434,434,"Here's looking at you, kid.",true,2020-07-05 19:34:34 UTC,
3901,2,21,272,272,"Frankly, my dear, I don’t give a damn.",false,2020-07-05 21:16:37 UTC,
1738,3,36,1060,1060,You talking to me?,true,2020-06-25 18:42:36 UTC,
2050,1,12,1410,1410,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-07-17 17:01:56 UTC,
513,2,25,185,185,I love the smell of napalm in the morning.,false,2020-07-19 22:53:50 UTC,
4335,3,36,382,382,"Go ahead, make my day.",false,2020-06-27 17:12:27 UTC,
4940,1,14,1979,1979,What we've got here is failure to communicate.,true,2020-07-13 22:50:50 UTC,
1772,2,26,1341,1341,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-07-11 21:37:44 UTC,
2779,3,39,1631,1631,May the Force be with you.,true,2020-06-28 18:18:58 UTC,
1933,1,18,638,638,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-07-01 21:46:16 UTC,
